ID,team_id,country,team_code,confederation_name,region_name,tournament_id,tournament_name,year,matches_played,total_goals,stage_reached,hist_avg_goals,hist_total_goals,hist_appearances,hist_avg_matches,hist_last_goals,hist_last3_avg_goals,conf_year_avg_goals,conf_avg_goals,conf_size,confederation_encoded,region_encoded,country_encoded,stage_encoded,hist_momentum,hist_consistency,goals_per_match,hist_goals_per_match,is_host,conf_strength_vs_era
WC-1986_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1986,1986 FIFA Men's World Cup,1986,7,14,final,7.875,63,8,4.25,8.0,10.666666666666666,7.5,6.921348314606742,4,4,9,2,6,-7,5.938674695827104,2.0,7.875,0,2.0
WC-1990_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1990,1990 FIFA Men's World Cup,1990,7,5,final,8.555555555555555,77,9,4.555555555555555,14.0,12.333333333333334,3.75,6.921348314606742,4,4,9,2,6,6,5.918426968188235,0.7142857142857143,8.555555555555555,0,-1.041666666666667
WC-1994_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1994,1994 FIFA Men's World Cup,1994,4,8,round of 16,8.2,82,10,4.8,5.0,9.0,6.0,6.921348314606742,4,4,9,2,2,-9,5.692099788303083,2.0,8.2,0,0.125
WC-1998_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1998,1998 FIFA Men's World Cup,1998,5,10,quarter-finals,8.181818181818182,90,11,4.7272727272727275,8.0,9.0,6.6,6.921348314606742,5,4,9,2,3,3,5.400336689840399,2.0,8.181818181818182,0,1.2562499999999996
WC-2002_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2002,2002 FIFA Men's World Cup,2002,3,2,group stage,8.333333333333334,100,12,4.75,10.0,7.666666666666667,6.4,6.921348314606742,5,4,9,2,0,2,5.175700801618925,0.6666666666666666,8.333333333333334,0,1.3687500000000004
WC-2006_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2006,2006 FIFA Men's World Cup,2006,5,11,quarter-finals,7.846153846153846,102,13,4.615384615384615,2.0,6.666666666666667,7.0,6.921348314606742,4,4,9,2,3,-8,5.257473313391675,2.2,7.846153846153846,0,2.40625
WC-2010_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2010,2010 FIFA Men's World Cup,2010,5,10,quarter-finals,8.071428571428571,113,14,4.642857142857143,11.0,7.666666666666667,7.2,6.921348314606742,5,4,9,2,3,9,5.121061874775068,2.0,8.071428571428571,0,2.66875
WC-2014_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2014,2014 FIFA Men's World Cup,2014,7,8,final,8.2,123,15,4.666666666666667,10.0,7.666666666666667,7.333333333333333,6.921348314606742,6,4,9,2,6,-1,4.959838707054899,1.1428571428571428,8.2,0,1.989583333333333
WC-2018_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2018,2018 FIFA Men's World Cup,2018,4,6,round of 16,8.1875,131,16,4.8125,8.0,9.666666666666666,5.8,6.921348314606742,5,4,9,2,2,-2,4.791920283143282,1.5,8.1875,0,0.5187499999999998
WC-2022_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-2022,2022 FIFA Men's World Cup,2022,7,15,final,8.058823529411764,137,17,4.764705882352941,6.0,8.0,7.25,6.921348314606742,4,4,9,2,6,-2,4.6699918125636755,2.142857142857143,8.058823529411764,0,1.875
WC-1974_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-1974,1974 FIFA Men's World Cup,1974,3,0,group stage,2.5287698412698414,0,0,3.2121775793650795,2.875,2.75,0.0,2.727272727272727,1,0,8,3,0,0,1.9742978550286596,0.0,0.0,0,-6.0625
WC-2006_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-2006,2006 FIFA Men's World Cup,2006,4,5,round of 16,0.0,0,1,3.0,0.0,0.0,2.8,2.727272727272727,5,0,8,3,2,0,1.9742978550286596,1.25,0.0,0,-1.7937500000000002
WC-2010_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-2010,2010 FIFA Men's World Cup,2010,3,3,group stage,2.5,5,2,3.5,5.0,2.5,3.5,2.727272727272727,4,0,8,3,0,5,3.5355339059327378,1.0,2.5,0,-1.03125
WC-2014_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-2014,2014 FIFA Men's World Cup,2014,3,3,group stage,2.6666666666666665,8,3,3.3333333333333335,3.0,2.6666666666666665,2.25,2.727272727272727,4,0,8,3,0,-2,2.5166114784235836,1.0,2.6666666666666665,0,-3.09375
WC-2018_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-2018,2018 FIFA Men's World Cup,2018,3,2,group stage,2.75,11,4,3.25,3.0,3.6666666666666665,3.0,2.727272727272727,5,0,8,3,0,0,2.0615528128088303,0.6666666666666666,2.75,0,-2.28125
WC-2022_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-2022,2022 FIFA Men's World Cup,2022,4,4,round of 16,2.6,13,5,3.2,2.0,2.6666666666666665,3.6666666666666665,2.727272727272727,6,0,8,3,2,-1,1.816590212458495,1.0,2.6,0,-1.7083333333333335
WC-1934_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,4,7,third-place match,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,5.333333333333333,6.4903474903474905,12,5,4,4,5,0,4.25745142161159,1.75,0.0,0,0.958333333333333
WC-1954_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,5,17,third-place match,7.0,7,1,4.0,7.0,7.0,9.5,6.4903474903474905,12,5,4,4,5,0,4.25745142161159,3.4,7.0,0,0.75
WC-1958_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,3,2,group stage,12.0,24,2,4.5,17.0,12.0,7.916666666666667,6.4903474903474905,12,5,4,4,0,10,7.0710678118654755,0.6666666666666666,12.0,0,0.04166666666666696
WC-1978_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,6,7,second group stage,8.666666666666666,26,3,4.0,2.0,8.666666666666666,6.3,6.4903474903474905,10,5,4,4,1,-15,7.637626158259733,1.1666666666666667,8.666666666666666,0,-0.07500000000000018
WC-1982_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,5,second group stage,8.25,33,4,4.5,7.0,8.666666666666666,7.5,6.4903474903474905,14,5,4,4,1,5,6.2915286960589585,1.0,8.25,0,1.416666666666667
WC-1990_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1990,1990 FIFA Men's World Cup,1990,3,2,group stage,7.6,38,5,4.6,5.0,4.666666666666667,5.928571428571429,6.4903474903474905,14,5,4,4,0,-2,5.639148871948674,0.6666666666666666,7.6,0,1.1369047619047619
WC-1998_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1998,1998 FIFA Men's World Cup,1998,3,3,group stage,6.666666666666667,40,6,4.333333333333333,2.0,4.666666666666667,6.8,6.4903474903474905,15,5,4,4,0,-3,5.537749241945383,1.0,6.666666666666667,0,1.4562499999999998
WC-1930_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,3.5,6.4903474903474905,4,5,4,5,0,0,4.25745142161159,0.0,0.0,0,-1.884615384615385
WC-1934_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16,0.0,0,1,2.0,0.0,0.0,5.333333333333333,6.4903474903474905,12,5,4,5,2,0,4.25745142161159,2.0,0.0,0,0.958333333333333
WC-1938_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,1,1,round of 16,1.0,2,2,1.5,2.0,1.0,5.416666666666667,6.4903474903474905,12,5,4,5,2,2,1.4142135623730951,1.0,1.0,0,-0.18333333333333268
WC-1954_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,2,5,group stage,1.0,3,3,1.3333333333333333,1.0,1.0,9.5,6.4903474903474905,12,5,4,5,0,-1,1.0,2.5,1.0,0,0.75
WC-1970_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,4,group stage,2.0,8,4,1.5,5.0,2.6666666666666665,5.5,6.4903474903474905,10,5,4,5,0,4,2.160246899469287,1.3333333333333333,2.0,0,-0.4375
WC-1982_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,3,second group stage,2.4,12,5,1.8,4.0,3.3333333333333335,7.5,6.4903474903474905,14,5,4,5,1,-1,2.0736441353327724,0.6,2.4,0,1.416666666666667
WC-1986_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1986,1986 FIFA Men's World Cup,1986,7,12,third-place match,2.5,15,6,2.3333333333333335,3.0,4.0,6.214285714285714,6.4903474903474905,14,5,4,5,5,-1,1.8708286933869707,1.7142857142857142,2.5,0,0.7142857142857144
WC-1990_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1990,1990 FIFA Men's World Cup,1990,4,6,round of 16,3.857142857142857,27,7,3.0,12.0,6.333333333333333,5.928571428571429,6.4903474903474905,14,5,4,5,2,9,3.9761191895520196,1.5,3.857142857142857,0,1.1369047619047619
WC-1994_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1994,1994 FIFA Men's World Cup,1994,4,4,round of 16,4.125,33,8,3.125,6.0,7.0,6.846153846153846,6.4903474903474905,13,5,4,5,2,-6,3.758324094593227,1.0,4.125,0,0.9711538461538458
WC-1998_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1998,1998 FIFA Men's World Cup,1998,3,3,group stage,4.111111111111111,37,9,3.2222222222222223,4.0,7.333333333333333,6.8,6.4903474903474905,15,5,4,5,0,-2,3.515837184954831,1.0,4.111111111111111,0,1.4562499999999998
WC-2002_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-2002,2002 FIFA Men's World Cup,2002,4,6,round of 16,4.0,40,10,3.2,3.0,4.333333333333333,5.6,6.4903474903474905,15,5,4,5,2,-1,3.3333333333333335,1.5,4.0,0,0.5687499999999996
WC-2014_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-2014,2014 FIFA Men's World Cup,2014,5,6,quarter-finals,4.181818181818182,46,11,3.272727272727273,6.0,4.333333333333333,6.384615384615385,6.4903474903474905,13,5,4,5,3,3,3.2192602199319587,1.2,4.181818181818182,0,1.040865384615385
WC-2018_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-2018,2018 FIFA Men's World Cup,2018,7,16,third-place match,4.333333333333333,52,12,3.4166666666666665,6.0,5.0,7.285714285714286,6.4903474903474905,14,5,4,5,5,0,3.1139957766460915,2.2857142857142856,4.333333333333333,0,2.0044642857142856
WC-2022_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-2022,2022 FIFA Men's World Cup,2022,3,1,group stage,5.230769230769231,68,13,3.6923076923076925,16.0,9.333333333333334,6.923076923076923,6.4903474903474905,13,5,4,5,0,10,4.399883448339781,0.3333333333333333,5.230769230769231,0,1.5480769230769234
WC-1930_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,6,0,0,4.969305233896636,0.0,0.0,0,1.0439560439560438
WC-1950_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,1,0,group stage,0.0,0,1,2.0,0.0,0.0,8.8,6.921348314606742,5,4,9,6,0,0,4.969305233896636,0.0,0.0,0,2.0307692307692315
WC-1994_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1994,1994 FIFA Men's World Cup,1994,3,1,group stage,0.0,0,2,1.5,0.0,0.0,6.0,6.921348314606742,4,4,9,6,0,0,0.0,0.3333333333333333,0.0,0,0.125
WC-2014_BIH,T-08,Bosnia and Herzegovina,BIH,Union of European Football Associations,Europe,WC-2014,2014 FIFA Men's World Cup,2014,3,4,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,6.384615384615385,6.4903474903474905,13,5,4,7,0,0,4.25745142161159,1.3333333333333333,0.0,0,1.040865384615385
WC-1930_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,5,group stage,7.409094674460387,0,0,3.7874188255307644,7.1125,7.189583333333333,6.428571428571429,6.921348314606742,7,4,9,8,0,0,4.969305233896636,2.5,0.0,0,1.0439560439560438
WC-1934_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1934,1934 FIFA Men's World Cup,1934,1,1,round of 16,5.0,5,1,2.0,5.0,5.0,1.5,6.921348314606742,2,4,9,8,2,0,4.969305233896636,1.0,5.0,0,-2.875
WC-1938_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1938,1938 FIFA Men's World Cup,1938,5,14,third-place match,3.0,6,2,1.5,1.0,3.0,14.0,6.921348314606742,1,4,9,8,5,-4,2.8284271247461903,2.8,3.0,0,8.4
WC-1950_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,6,22,final round,6.666666666666667,20,3,2.6666666666666665,14.0,6.666666666666667,8.8,6.921348314606742,5,4,9,8,5,13,6.6583281184793925,3.6666666666666665,6.666666666666667,1,2.0307692307692315
WC-1954_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1954,1954 FIFA Men's World Cup,1954,3,8,quarter-finals,10.5,42,4,3.5,22.0,12.333333333333334,12.0,6.921348314606742,2,4,9,8,3,8,9.39858145324779,2.6666666666666665,10.5,0,3.25
WC-1958_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1958,1958 FIFA Men's World Cup,1958,6,16,final,10.0,50,5,3.4,8.0,14.666666666666666,10.0,6.921348314606742,3,4,9,8,6,-14,8.215838362577491,2.6666666666666665,10.0,0,2.125
WC-1962_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,6,14,final,11.0,66,6,3.8333333333333335,16.0,15.333333333333334,7.0,6.921348314606742,5,4,9,8,6,8,7.745966692414834,2.3333333333333335,11.0,0,1.4375
WC-1966_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,3,4,group stage,11.428571428571429,80,7,4.142857142857143,14.0,12.666666666666666,3.0,6.921348314606742,4,4,9,8,0,-2,7.1614044911395895,1.3333333333333333,11.428571428571429,0,-2.5625
WC-1970_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1970,1970 FIFA Men's World Cup,1970,6,19,final,10.5,84,8,4.0,4.0,11.333333333333334,10.666666666666666,6.921348314606742,3,4,9,8,6,-10,7.131419413913534,3.1666666666666665,10.5,0,4.729166666666666
WC-1974_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,7,6,third-place match,11.444444444444445,103,9,4.222222222222222,19.0,12.333333333333334,4.25,6.921348314606742,4,4,9,8,5,15,7.2476049683863,0.8571428571428571,11.444444444444445,0,-1.8125
WC-1978_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1978,1978 FIFA Men's World Cup,1978,7,10,third-place match,10.9,109,10,4.5,6.0,9.666666666666666,10.666666666666666,6.921348314606742,3,4,9,8,5,-13,7.046669820245273,1.4285714285714286,10.9,0,4.291666666666666
WC-1982_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,5,15,second group stage,10.818181818181818,119,11,4.7272727272727275,10.0,11.666666666666666,7.0,6.921348314606742,4,4,9,8,1,4,6.690563232167854,3.0,10.818181818181818,0,0.916666666666667
WC-1986_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1986,1986 FIFA Men's World Cup,1986,5,10,quarter-finals,11.166666666666666,134,12,4.75,15.0,10.333333333333334,7.5,6.921348314606742,4,4,9,8,3,5,6.492419822494164,2.0,11.166666666666666,0,2.0
WC-1990_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1990,1990 FIFA Men's World Cup,1990,4,4,round of 16,11.076923076923077,144,13,4.769230769230769,10.0,11.666666666666666,3.75,6.921348314606742,4,4,9,8,2,-5,6.224434893513607,1.0,11.076923076923077,0,-1.041666666666667
WC-1994_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1994,1994 FIFA Men's World Cup,1994,7,11,final,10.571428571428571,148,14,4.714285714285714,4.0,9.666666666666666,6.0,6.921348314606742,4,4,9,8,6,-6,6.272213272893337,1.5714285714285714,10.571428571428571,0,0.125
WC-1998_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1998,1998 FIFA Men's World Cup,1998,7,14,final,10.6,159,15,4.866666666666666,11.0,8.333333333333334,6.6,6.921348314606742,5,4,9,8,6,7,6.0450688286286,2.0,10.6,0,1.2562499999999996
WC-2002_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2002,2002 FIFA Men's World Cup,2002,7,18,final,10.8125,173,16,5.0,14.0,9.666666666666666,6.4,6.921348314606742,5,4,9,8,6,3,5.901624070259531,2.5714285714285716,10.8125,0,1.3687500000000004
WC-2006_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2006,2006 FIFA Men's World Cup,2006,5,10,quarter-finals,11.235294117647058,191,17,5.117647058823529,18.0,14.333333333333334,7.0,6.921348314606742,4,4,9,8,3,4,5.974209275760955,2.0,11.235294117647058,0,2.40625
WC-2010_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2010,2010 FIFA Men's World Cup,2010,5,9,quarter-finals,11.166666666666666,201,18,5.111111111111111,10.0,14.0,7.2,6.921348314606742,5,4,9,8,3,-8,5.8031431645475795,1.8,11.166666666666666,0,2.66875
WC-2014_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2014,2014 FIFA Men's World Cup,2014,7,11,third-place match,11.052631578947368,210,19,5.105263157894737,9.0,12.333333333333334,7.333333333333333,6.921348314606742,6,4,9,8,5,-1,5.66150435652463,1.5714285714285714,11.052631578947368,1,1.989583333333333
WC-2018_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2018,2018 FIFA Men's World Cup,2018,5,8,quarter-finals,11.05,221,20,5.2,11.0,10.0,5.8,6.921348314606742,5,4,9,8,3,2,5.510516261992538,1.6,11.05,0,0.5187499999999998
WC-2022_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-2022,2022 FIFA Men's World Cup,2022,5,8,quarter-finals,10.904761904761905,229,21,5.190476190476191,8.0,9.333333333333334,7.25,6.921348314606742,4,4,9,8,3,-3,5.41206764466929,1.6,10.904761904761905,0,1.875
WC-1962_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,3,1,group stage,6.507244366894423,0,0,3.762046133160229,6.719457013574661,6.6455505279034695,5.1,6.4903474903474905,10,5,4,9,0,0,4.25745142161159,0.3333333333333333,0.0,0,-0.46250000000000036
WC-1966_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,1,group stage,1.0,1,1,3.0,1.0,1.0,7.1,6.4903474903474905,10,5,4,9,0,0,4.25745142161159,0.3333333333333333,1.0,0,1.5374999999999996
WC-1970_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,5,group stage,1.0,2,2,3.0,1.0,1.0,5.5,6.4903474903474905,10,5,4,9,0,0,0.0,1.6666666666666667,1.0,0,-0.4375
WC-1974_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,3,2,group stage,2.3333333333333335,7,3,3.0,5.0,2.3333333333333335,8.666666666666666,6.4903474903474905,9,5,4,9,0,4,2.3094010767585034,0.6666666666666666,2.3333333333333335,0,2.604166666666666
WC-1986_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1986,1986 FIFA Men's World Cup,1986,4,2,round of 16,2.25,9,4,3.0,2.0,2.6666666666666665,6.214285714285714,6.4903474903474905,14,5,4,9,2,-3,1.8929694486000912,0.5,2.25,0,0.7142857142857144
WC-1994_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1994,1994 FIFA Men's World Cup,1994,7,10,third-place match,2.2,11,5,3.2,2.0,3.0,6.846153846153846,6.4903474903474905,13,5,4,9,5,0,1.6431676725154984,1.4285714285714286,2.2,0,0.9711538461538458
WC-1998_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1998,1998 FIFA Men's World Cup,1998,3,1,group stage,3.5,21,6,3.8333333333333335,10.0,4.666666666666667,6.8,6.4903474903474905,15,5,4,9,0,8,3.5071355833500366,0.3333333333333333,3.5,0,1.4562499999999998
WC-1982_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-1982,1982 FIFA Men's World Cup,1982,3,1,group stage,3.499206349206349,0,0,3.3259920634920634,3.1944444444444446,3.398148148148148,3.0,3.204081632653061,2,1,0,10,0,0,1.7966456998631248,0.3333333333333333,0.0,0,-3.083333333333333
WC-1990_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-1990,1990 FIFA Men's World Cup,1990,5,7,quarter-finals,1.0,1,1,3.0,1.0,1.0,4.0,3.204081632653061,2,1,0,10,3,0,1.7966456998631248,1.4,1.0,0,-0.791666666666667
WC-1994_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-1994,1994 FIFA Men's World Cup,1994,3,3,group stage,4.0,8,2,4.0,7.0,4.0,4.0,3.204081632653061,3,1,0,10,0,6,4.242640687119285,1.0,4.0,0,-1.875
WC-1998_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-1998,1998 FIFA Men's World Cup,1998,3,2,group stage,3.6666666666666665,11,3,3.6666666666666665,3.0,3.6666666666666665,3.4,3.204081632653061,5,1,0,10,0,-4,3.055050463303893,0.6666666666666666,3.6666666666666665,0,-1.94375
WC-2002_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-2002,2002 FIFA Men's World Cup,2002,3,2,group stage,3.25,13,4,3.5,2.0,4.0,3.2,3.204081632653061,5,1,0,10,0,-1,2.6299556396765835,0.6666666666666666,3.25,0,-1.8312499999999998
WC-2010_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-2010,2010 FIFA Men's World Cup,2010,3,2,group stage,3.0,15,5,3.4,2.0,2.3333333333333335,2.8333333333333335,3.204081632653061,6,1,0,10,0,0,2.345207879911715,0.6666666666666666,3.0,0,-1.6979166666666665
WC-2014_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-2014,2014 FIFA Men's World Cup,2014,3,1,group stage,2.8333333333333335,17,6,3.3333333333333335,2.0,2.0,3.8,3.204081632653061,5,1,0,10,0,0,2.1369760566432805,0.3333333333333333,2.8333333333333335,0,-1.5437500000000002
